STATE,GEOID,LAT,LON
AL,0101,31.002052,-87.787972
AL,0102,31.702085,-86.076842
AL,0103,33.150564,-85.700228
AL,0104,34.11818,-87.213808
AL,0105,34.755297,-86.711804
AL,0106,33.260212,-86.71343
AL,0107,32.449235,-87.640501
AK,0200,63.347356,-152.839733
AZ,0401,34.971013,-110.725925
AZ,0402,31.916618,-109.938728
AZ,0403,32.422318,-112.401301
AZ,0404,34.590918,-113.204528
AZ,0405,33.339694,-111.712424
AZ,0406,33.665663,-111.888471
AZ,0407,33.427819,-112.118768
AZ,0408,33.695571,-112.299576
AZ,0409,33.406007,-111.949996
AR,0501,35.293909,-91.258306
AR,0502,35.09956,-92.379157
AR,0503,36.500504,-94.617768
AR,0504,34.2242,-93.221113
CA,0601,40.731988,-121.510516
CA,0602,40.094059,-123.464974
CA,0603,39.031952,-122.089573
CA,0604,37.982452,-119.927973
CA,0605,38.515718,-122.462466
CA,0606,38.594033,-121.479768
CA,0607,38.479477,-121.215371
CA,0608,35.662557,-116.819546
CA,0609,38.010406,-121.306562
CA,0610,37.586323,-121.054426
CA,0611,37.903869,-122.000933
CA,0612,37.785514,-122.434
CA,0613,37.778962,-122.239248
CA,0614,37.574802,-122.493656
CA,0615,37.657148,-121.836245
CA,0616,37.108653,-120.518867
CA,0617,37.441028,-121.966578
CA,0618,37.202203,-122.153806
CA,0619,37.216236,-121.529023
CA,0620,36.373286,-121.275218
CA,0621,36.086714,-119.8515
CA,0622,36.476878,-119.389542
CA,0623,35.610684,-118.539057
CA,0624,34.919633,-120.112845
CA,0625,34.588062,-118.280264
CA,0626,34.167023,-119.129955
CA,0627,34.265083,-117.934887
CA,0628,34.250058,-118.291452
CA,0629,34.266695,-118.430313
CA,0630,34.201873,-118.546956
CA,0631,34.109675,-117.353329
CA,0632,34.089564,-117.914142
CA,0633,34.046539,-118.944307
CA,0634,34.074655,-118.228269
CA,0635,34.044749,-117.583463
CA,0636,33.730013,-115.739337
CA,0637,34.016897,-118.371764
CA,0638,33.939479,-118.062604
CA,0639,33.938649,-117.825836
CA,0640,33.969867,-118.179207
CA,0641,33.918075,-117.29742
CA,0642,33.679953,-117.227523
CA,0643,33.90311,-118.336303
CA,0644,33.81875,-118.250983
CA,0645,33.714258,-117.668355
CA,0646,33.790804,-117.896363
CA,0647,33.367336,-118.480709
CA,0648,33.62291,-117.905275
CA,0649,33.314786,-117.379519
CA,0650,33.113548,-116.62259
CA,0651,32.995575,-115.525534
CA,0652,32.857199,-117.165327
CA,0653,32.718314,-117.031482
CO,0801,39.732286,-104.908758
CO,0802,40.137084,-105.709084
CO,0803,38.743254,-107.344849
CO,0804,39.070683,-103.413853
CO,0805,38.815408,-105.344151
CO,0806,39.755088,-104.765351
CO,0807,39.826671,-105.040854
CT,0901,41.790152,-73.20118
CT,0902,41.653687,-72.206509
CT,0903,41.385688,-72.877302
CT,0904,41.196801,-73.388514
CT,0905,41.694323,-73.209998
CT,09ZZ,41.166607,-72.842465
DE,1000,38.998566,-75.441644
DC,1198,38.904103,-77.017229
FL,1201,30.662801,-86.662466
FL,1202,30.075257,-84.179287
FL,1203,29.680803,-82.04786
FL,1204,30.676438,-82.05057
FL,1205,30.448117,-83.324429
FL,1206,29.193038,-81.279601
FL,1207,28.687037,-81.244723
FL,1208,28.164649,-80.698906
FL,1209,28.035342,-81.290617
FL,1210,28.543829,-81.512865
FL,1211,28.78694,-82.216916
FL,1212,28.26871,-82.491809
FL,1213,27.825916,-82.726442
FL,1214,28.013531,-82.486438
FL,1215,28.196973,-81.980449
FL,1216,27.533103,-82.358155
FL,1217,27.232739,-81.551539
FL,1218,27.137537,-80.381641
FL,1219,26.431625,-81.906768
FL,1220,26.44613,-80.586987
FL,1221,26.562631,-80.126245
FL,1222,26.272108,-80.125212
FL,1223,26.042138,-80.240928
FL,1224,25.908466,-80.210911
FL,1225,26.204284,-81.202959
FL,1226,25.170743,-81.095269
FL,1227,25.691263,-80.250152
GA,1301,31.317438,-81.942545
