city,state,state_name,county_fips,lat,lon
Baltimore,MD,Maryland,24510,39.3051,-76.6144
Buffalo,NY,New York,36029,42.9016,-78.8487
McAllen,TX,Texas,48215,26.2273,-98.2471
Tulsa,OK,Oklahoma,40143,36.1284,-95.9042
Chattanooga,TN,Tennessee,47065,35.0657,-85.2488
Savannah,GA,Georgia,13051,32.0281,-81.1784
Topeka,KS,Kansas,20177,39.0346,-95.6955
Morgantown,WV,West Virginia,54061,39.638,-79.9468
Janesville,WI,Wisconsin,55105,42.6855,-89.0136
Bentonville,AR,Arkansas,05007,36.3546,-94.2306
West Lafayette,IN,Indiana,18157,40.4432,-86.9239
Salina,KS,Kansas,20169,38.8137,-97.6143
Natchez,MS,Mississippi,28001,31.5437,-91.3867
Ontario,OR,Oregon,41045,44.0259,-116.9759
Augusta,ME,Maine,23011,44.3341,-69.7319
Bemidji,MN,Minnesota,27007,47.4828,-94.8796
Newton,IA,Iowa,19099,41.6964,-93.0402
Las Vegas,NM,New Mexico,35047,35.6011,-105.2206
Tuscumbia,AL,Alabama,01033,34.7204,-87.7035
St. Joseph,MI,Michigan,26021,42.0967,-86.485
Montpelier,VT,Vermont,50023,44.2658,-72.5717
Osceola,IA,Iowa,19039,41.0302,-93.7829
Britt,IA,Iowa,19081,43.0975,-93.8032
Osborne,KS,Kansas,20141,39.4405,-98.6994
Harmony,MN,Minnesota,27045,43.554,-92.0075
Curtis,NE,Nebraska,31063,40.6335,-100.5113
Mankato,KS,Kansas,20089,39.7871,-98.2083
Manilla,IA,Iowa,19047,41.8923,-95.2347
Wilson,KS,Kansas,20053,38.8255,-98.4749
Elwood,NE,Nebraska,31073,40.5897,-99.8616
Marquette,KS,Kansas,20113,38.5555,-97.8344
Halstad,MN,Minnesota,27107,47.3511,-96.8247
